[2024-12-08T10:39:18+0000] [PACMAN] Running 'pacman -Syu --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64'
[2024-12-08T10:39:18+0000] [PACMAN] synchronizing package lists
[2024-12-08T10:39:21+0000] [PACMAN] starting core system upgrade
[2024-12-08T10:39:21+0000] [PACMAN] starting full system upgrade
[2024-12-08T10:39:21+0000] [PACMAN] Running 'pacman -S --noconfirm --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64 filesystem msys2-runtime'
[2024-12-08T10:39:23+0000] [ALPM] transaction started
[2024-12-08T10:39:23+0000] [ALPM] installed filesystem (2023.02.07-3)
[2024-12-08T10:39:24+0000] [ALPM] installed msys2-runtime (3.5.4-8)
[2024-12-08T10:39:24+0000] [ALPM] transaction completed
[2024-12-08T10:39:24+0000] [PACMAN] Running 'pacman -S --noconfirm --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64 base'
[2024-12-08T10:39:47+0000] [ALPM] transaction started
[2024-12-08T10:39:47+0000] [ALPM] installed bash (5.2.037-1)
[2024-12-08T10:39:48+0000] [ALPM] installed bash-completion (2.14.0-1)
[2024-12-08T10:39:48+0000] [ALPM] installed gcc-libs (13.3.0-1)
[2024-12-08T10:39:48+0000] [ALPM] installed libbz2 (1.0.8-4)
[2024-12-08T10:39:48+0000] [ALPM] installed libintl (0.22.4-1)
[2024-12-08T10:39:48+0000] [ALPM] installed libiconv (1.17-1)
[2024-12-08T10:39:48+0000] [ALPM] installed libexpat (2.6.4-1)
[2024-12-08T10:39:48+0000] [ALPM] installed liblzma (5.6.3-1)
[2024-12-08T10:39:48+0000] [ALPM] installed liblz4 (1.10.0-1)
[2024-12-08T10:39:48+0000] [ALPM] installed libopenssl (3.4.0-1)
[2024-12-08T10:39:48+0000] [ALPM] installed libzstd (1.5.6-1)
[2024-12-08T10:39:48+0000] [ALPM] installed zlib (1.3.1-1)
[2024-12-08T10:39:48+0000] [ALPM] installed bsdtar (3.7.7-1)
[2024-12-08T10:39:48+0000] [ALPM] installed bzip2 (1.0.8-4)
[2024-12-08T10:39:48+0000] [ALPM] installed gmp (6.3.0-1)
[2024-12-08T10:39:49+0000] [ALPM] installed coreutils (8.32-5)
[2024-12-08T10:39:49+0000] [ALPM] installed openssl (3.4.0-1)
[2024-12-08T10:39:49+0000] [ALPM] installed findutils (4.10.0-2)
[2024-12-08T10:39:49+0000] [ALPM] installed sed (4.9-1)
[2024-12-08T10:39:49+0000] [ALPM] installed libffi (3.4.6-1)
[2024-12-08T10:39:57+0000] [ALPM] installed ncurses (6.5.20240831-2)
[2024-12-08T10:39:57+0000] [ALPM] installed libpcre2_8 (10.44-1)
[2024-12-08T10:39:57+0000] [ALPM] installed less (668-1)
[2024-12-08T10:39:57+0000] [ALPM] installed gzip (1.13-1)
[2024-12-08T10:39:57+0000] [ALPM] installed libxcrypt (4.4.36-1)
